monthly_rent (€),number_of_bedrooms,number_of_bathrooms,Density per sq km,Average Income (€)
350.0,1.0,1.0,94.3,53018.0
412.775,3.0,3.0,41.6,44108.0
450.0,2.0,1.0,27.6,44833.0
466.0,3.0,2.0,68.6,46308.0
477.95,4.0,5.0,76.0,49272.0
500.0,1.0,1.0,77.5,52284.0
510.0,6.0,6.0,32.5,42674.0
543.125,4.0,3.0,68.6,46308.0
600.0,1.0,1.0,76.9,55361.0
600.0,1.0,1.0,37.1,48576.0
608.3,1.0,1.0,52.3,46782.0
650.0,2.0,1.0,68.6,46308.0
650.0,1.0,1.0,169.1,45905.0
695.1999999999999,15.0,1.0,68.6,46308.0
700.0,2.0,1.0,50.2,46510.0
700.0,8.0,8.0,52.3,46782.0
700.0,2.0,2.0,76.0,49272.0
716.925,1.0,1.0,27.6,44833.0
738.65,1.0,1.0,34.4,39156.0
750.0,1.0,1.0,42.9,41418.0
750.0,2.0,1.0,146.2,55861.0
750.0,1.0,1.0,1581.5,60804.0
800.0,2.0,1.0,50.4,40024.0
800.0,2.0,1.0,32.5,42674.0
800.0,4.0,3.0,77.5,52284.0
800.0,2.0,2.0,42.3,43183.0
800.0,2.0,1.0,1581.5,60804.0
825.0,1.0,1.0,76.0,49272.0
850.0,1.0,1.0,34.4,39156.0
850.0,2.0,1.0,69.3,42906.0
850.0,1.0,1.0,42.9,41418.0
850.0,1.0,1.0,52.3,46782.0
850.0,3.0,2.0,34.4,39156.0
850.0,1.0,1.0,1581.5,60804.0
850.0,1.0,1.0,146.2,55861.0
850.0,1.0,1.0,24.7,43480.0
850.0,2.0,1.0,69.3,42906.0
850.0,1.0,1.0,34.4,39156.0
850.0,1.0,1.0,1581.5,60804.0
870.0,1.0,1.0,146.2,55861.0
875.0,2.0,1.0,41.6,44108.0
900.0,2.0,1.0,38.2,45599.0
900.0,3.0,1.0,42.3,43183.0
900.0,1.0,1.0,69.3,42906.0
900.0,1.0,1.0,1581.5,60804.0
900.0,1.0,1.0,94.3,53018.0
900.0,1.0,1.0,69.3,42906.0
900.0,1.0,1.0,77.5,52284.0
900.0,1.0,1.0,94.3,53018.0
900.0,2.0,1.0,42.3,43183.0
900.0,1.0,1.0,69.3,42906.0
900.0,1.0,1.0,38.2,45599.0
900.0,1.0,1.0,42.9,41418.0
900.0,1.0,1.0,27.6,44833.0
909.0,2.0,1.0,77.5,52284.0
950.0,3.0,1.0,34.4,39156.0
950.0,2.0,1.0,69.3,42906.0
950.0,1.0,1.0,69.3,42906.0
950.0,2.0,1.0,24.7,43480.0
950.0,3.0,2.0,50.2,46510.0
950.0,5.0,2.0,77.5,52284.0
1000.0,1.0,1.0,169.1,45905.0
1000.0,1.0,1.0,69.3,42906.0
1000.0,2.0,2.0,32.5,42674.0
1000.0,3.0,1.0,21.9,42924.0
1000.0,1.0,1.0,69.1,44000.0
1000.0,1.0,1.0,146.2,55861.0
1000.0,1.0,1.0,32.5,42674.0
1000.0,1.0,1.0,69.1,44000.0
1000.0,2.0,1.0,34.4,39156.0
1000.0,1.0,1.0,1581.5,60804.0
1000.0,1.0,1.0,50.2,46510.0
1000.0,2.0,1.0,27.6,44833.0
1000.0,2.0,2.0,77.5,52284.0
1000.0,3.0,1.0,50.4,40024.0
1000.0,1.0,1.0,38.2,45599.0
1000.0,1.0,1.0,39.0,44678.0
1000.0,1.0,1.0,69.3,42906.0
1000.0,1.0,1.0,45.1,48765.0
1000.0,1.0,1.0,52.3,46782.0
1000.0,1.0,1.0,50.2,46510.0
1000.0,5.0,5.0,76.0,49272.0
1000.0,1.0,1.0,169.1,45905.0
1000.0,1.0,1.0,32.5,42674.0
1000.0,1.0,1.0,1581.5,60804.0
1000.0,2.0,3.0,42.3,43183.0
1000.0,2.0,1.0,69.1,44000.0
1000.0,1.0,1.0,34.4,39156.0
1000.0,1.0,1.0,146.2,55861.0
1000.0,2.0,1.0,50.2,46510.0
1050.0,1.0,1.0,34.4,39156.0
1050.0,1.0,1.0,45.1,48765.0
1050.0,3.0,1.0,34.4,39156.0
1082.0,1.0,1.0,1581.5,60804.0
1086.25,1.0,1.0,45.1,48765.0
1090.0,1.0,1.0,69.3,42906.0
1100.0,2.0,1.0,27.6,44833.0
1100.0,2.0,1.0,32.5,42674.0
1100.0,1.0,1.0,169.1,45905.0
1100.0,1.0,1.0,169.1,45905.0
1100.0,3.0,2.0,27.6,44833.0
1100.0,1.0,1.0,94.3,53018.0
1100.0,1.0,1.0,146.2,55861.0
1100.0,1.0,1.0,21.9,42924.0
1100.0,4.0,1.0,21.9,42924.0
1100.0,2.0,1.0,53.4,46563.0
1100.0,2.0,2.0,69.3,42906.0
1100.0,3.0,3.0,76.0,49272.0
1100.0,3.0,1.0,52.3,46782.0
1100.0,1.0,1.0,1581.5,60804.0
1110.0,1.0,1.0,146.2,55861.0
1148.0,1.0,1.0,1581.5,60804.0
1150.0,1.0,1.0,1581.5,60804.0
1150.0,1.0,1.0,146.2,55861.0
1150.0,2.0,2.0,169.1,45905.0
