property_id,location,rent (€),rent_frequency,monthly_rent (€),number_of_bedrooms,number_of_bathrooms,property_type,county,Density per sq km,Average Income (€),monthly_rent_scaled,bedrooms_scaled,bathrooms_scaled,density_scaled,income_scaled
e1cc4c7a-0268-4586-aa5d-7063aefa8a65,"navan meath , Dunshaughlin, Co. Meath",350.0,month,350.0,1.0,1.0,House,Meath,94.3,53018.0,-2.3754765943611584,-1.1677841697609972,-0.8065369140414774,-0.9289310275431956,-0.19376599800289773
0bd24363-2d8d-4153-8eba-48dac8139471,"Ballydaly, Tullamore, Tullamore, Co. Offaly",95.0,week,412.775,3.0,3.0,House,Offaly,41.6,44108.0,-2.2917825185551504,0.485161241437069,1.3604656315367458,-0.9988180049738884,-1.455958683783595
ff5b17e9-38fd-4010-9c1c-1751c349a041,"Ballinagare , Ballinagare, Co. Roscommon",450.0,month,450.0,2.0,1.0,House,Roscommon,27.6,44833.0,-2.2421526982145905,-0.3413114641619641,-0.8065369140414774,-1.01738380542986,-1.353255014065188
2f01c303-8407-4705-b0da-c6beb4528845,"Aylesbury Manor, Poleberry, Waterford, Waterford City Centre",466.0,month,466.0,3.0,2.0,Apartment,Waterford,68.6,46308.0,-2.2208208748311393,0.485161241437069,0.2769643587476342,-0.9630125326659432,-1.1443061687760154
c5b00942-f18a-49a0-9ed2-c670a9fceaa6,"Courtyard student village, Castletroy, Co. Limerick",110.0,week,477.95,4.0,5.0,House,Limerick,76.0,49272.0,-2.2048886692416243,1.3116339470361023,3.5274681771149687,-0.9531991809963583,-0.724425234920349
4a3da249-7903-4501-9556-7ae9b73ecde3,"Near, Mitchelstown, Co. Cork",500.0,month,500.0,1.0,1.0,Apartment,Cork,77.5,52284.0,-2.1754907501413063,-1.1677841697609972,-0.8065369140414774,-0.9512099880903614,-0.2977446098281538
0ff87332-0c62-43f9-8fd5-8108b0c2515c,"Coisceim Student Village, Dromtacker, Tralee, Co. Kerry",510.0,month,510.0,6.0,6.0,House,Kerry,32.5,42674.0,-2.1621583605266492,2.9645793582341686,4.61096944990408,-1.01088577527027,-1.6590994594748991
e68736a7-bdbf-47dd-a10e-c0472aacc49b,"LISMORE PARK,CORK ROAD, Waterford City Centre",125.0,week,543.125,4.0,3.0,House,Waterford,68.6,46308.0,-2.1179948199280987,1.3116339470361023,1.3604656315367458,-0.9630125326659432,-1.1443061687760154
2705a364-8a09-46f7-be26-d080d2187624,"Apartment 19, Mountain View, Headlands, Putland Ro, Bray, Co. Wicklow",600.0,month,600.0,1.0,1.0,Apartment,Wicklow,76.9,55361.0,-2.042166853994738,-1.1677841697609972,-0.8065369140414774,-0.9520056652527602,0.13814393048017448
f7f51a50-ef4f-4094-9ed9-07359cae1f44,"Quin,Ennis,Co. Clare, Newmarket on Fergus, Co. Clare",600.0,month,600.0,1.0,1.0,House,Clare,37.1,48576.0,-2.042166853994738,-1.1677841697609972,-0.8065369140414774,-1.0047855836918793,-0.8230207578500197
e80efa80-026a-40a9-b1e0-98d7c857faed,"Woodville house N91 Hp46, Milltownpass, Co. Westmeath",140.0,week,608.3,1.0,1.0,House,Westmeath,52.3,46782.0,-2.031100970614573,-1.1677841697609972,-0.8065369140414774,-0.9846284289111102,-1.0771592178152913
05c05bb3-1f6b-4500-b636-81954cf86975,"2 Rooms Available Near Waterford University SETU, Waterford City Centre",650.0,month,650.0,2.0,1.0,House,Waterford,68.6,46308.0,-1.975504905921454,-0.3413114641619641,-0.8065369140414774,-0.9630125326659432,-1.1443061687760154
950f686f-a995-43d3-8b2a-c431dce5e02b,"Kilcurry, Dundalk, Kilcurry, Co. Louth",650.0,month,650.0,1.0,1.0,House,Louth,169.1,45905.0,-1.975504905921454,-1.1677841697609972,-0.8065369140414774,-0.8297366079641474,-1.2013952431160402
f5882995-c41c-4d1f-bea5-e659db7c13f8,"Grace Dieu Manor, Tramore Road, Waterford",160.0,week,695.1999999999999,15.0,1.0,House,Waterford,68.6,46308.0,-1.9152425048632054,10.402833708625467,-0.8065369140414774,-0.9630125326659432,-1.1443061687760154
f61dfcd1-6220-4e97-9cda-0c3439a33fdc,"ROOM TO RENT IN HOUSE SHARE Kilmacow, Co. Kilkenny, Kilmacow, Co. Kilkenny",700.0,month,700.0,2.0,1.0,Apartment,Kilkenny,50.2,46510.0,-1.9088429578481698,-0.3413114641619641,-0.8065369140414774,-0.9874132989795058,-1.1156908014889557
13465982-fd4f-4877-9f1e-3b7211b72365,"4 Chapel Street, Athlone, Athlone, Co. Westmeath",700.0,month,700.0,8.0,8.0,House,Westmeath,52.3,46782.0,-1.9088429578481698,4.617524769432235,6.777971995482304,-0.9846284289111102,-1.0771592178152913
2d5a1ad1-a533-4265-ba6e-06ed62068abb,"Brookfield Hall, Student  Village, Castletroy, Co. Limerick",700.0,month,700.0,2.0,2.0,Apartment,Limerick,76.0,49272.0,-1.9088429578481698,-0.3413114641619641,0.2769643587476342,-0.9531991809963583,-0.724425234920349
c6ae983a-d392-45c2-b1e2-15ebcc0a41d7,"No.1, Churchsreet, Co. Roscommon",165.0,week,716.925,1.0,1.0,House,Roscommon,27.6,44833.0,-1.8862778884253633,-1.1677841697609972,-0.8065369140414774,-1.01738380542986,-1.353255014065188
